PCBIndex,Ref.Des.,Pad ID,Volume (%),Height (um),Area (%),Offset X (um),Offset Y (um),Group ID,Print Direction,Barcode,Bridge Error,Shape Error,Panel ID,Result,,,,,,,,,,,,,
13281,C1273,8080,130,120,109,-24,70,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1273,8081,132,112,119,-22,51,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1274,9726,152,132,117,-14,51,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1274,9727,167,138,123,-15,67,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,EXCESSIVE_WARNING,,,,,,,,,,,,,
13281,C1275,5982,143,128,114,-18,71,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1275,5983,147,131,113,-19,65,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1276,8078,117,120,99,-27,64,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1276,8079,110,107,104,-21,57,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1277,5972,147,129,116,-4,66,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1277,5973,142,125,116,-8,73,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1278,9929,135,125,109,-7,77,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1278,9930,141,123,116,-20,73,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1279,7882,123,108,116,-19,61,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1279,7883,128,122,106,-25,66,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1281,5926,140,129,111,-25,59,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1281,5927,142,125,116,-24,51,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1282,5978,140,125,114,-17,69,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1282,5979,146,133,112,-25,67,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1283,5924,145,131,113,-16,67,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1283,5925,140,126,113,-17,70,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1284,5980,148,128,117,-11,69,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1284,5981,137,122,114,-12,70,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1286,7386,86,105,84,-37,65,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1286,7387,96,110,88,-47,45,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1287,7388,92,100,93,-57,46,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1287,7389,88,104,86,-55,35,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1289,5762,94,111,85,-29,19,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1289,5763,106,115,93,-44,21,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1291,5740,98,113,88,-25,23,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1291,5741,99,113,89,-42,17,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1293,7432,73,103,72,-34,55,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1293,7433,69,100,70,-26,39,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,INSUFFICIENT_WARNING,,,,,,,,,,,,,
13281,C1296,9959,110,130,86,-54,8,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1296,9960,101,122,84,-53,9,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1300,5934,91,110,84,-43,27,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1300,5935,96,112,87,-41,24,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1302,5754,90,110,83,-40,26,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1302,5755,97,115,86,-42,22,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1304,9849,99,112,90,-33,25,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
