Panel:ZEN-04-TOP
Revision:1
Serial Number:VEPARB34010007
Date:20240305062354
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(466.750,-2.262),TL(-26.235,451.880)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
PC338_1_1~W4	384221	394021	VEPL3706100	OK	FAIL	PASS
PC349_3_1~W3	384315	367482	VEPL23708105	OK	FAIL	PASS
PC36_1~W3	64425	310526	VEPL23539155	OK	FAIL	PASS
PC363_1~W3	195378	372775	VEPL23696105	OK	FAIL	PASS
PC377_1_1~W3	215512	399916	VEPL23708105	OK	FAIL	PASS
PC378_2_1~W3	210726	391682	VEPL23708105	OK	FAIL	PASS
PC390_1~W3	212182	360138	VEPL23689270	OK	FAIL	PASS
PC390_1~W5	210714	360108	VEPL23689270	OK	FAIL	PASS
PC392_1_1~W2	228131	399971	VEPL3706100	OK	FAIL	PASS
PC392_1_1~W3	227038	399970	VEPL3706100	OK	FAIL	PASS
PC392_1_1~W4	227596	399979	VEPL3706100	OK	FAIL	PASS
PC393_1~W5	210735	368746	VEPL23689270	OK	FAIL	PASS
PC396_1~W3	200777	388947	VEPL23689270	OK	FAIL	PASS
PC399_1~W2	224809	366500	VEPL25130352	OK	FAIL	PASS
PC400_1~W2	224859	374908	VEPL25130352	OK	FAIL	PASS
PC402_P1_3_1~W3	227530	374906	VEPL25130352	OK	FAIL	PASS
PC407_4_1~W3	222592	374994	VEPL23708105	OK	FAIL	PASS
PC408_3_1~W2	220761	380571	VEPL23708105	OK	FAIL	PASS
